2020 Global Tropical Cyclones,,,,
Name,Maximum,Dates,Maximum Sustained Winds,Minimum Central Pressure
,Category,>39 mph,,
Calvinia,1,December 29-January 1,80 mph,973 mb
Blake,TS,January 5-8,60 mph,989 mb
Claudia,2,January 11-16,95 mph,971 mb
Tino,1,January 16-19,80 mph,964 mb
Not_Named,TS,January 22-23,40 mph,1000 mb
Diane,TS,January 25-27,60 mph,985 mb
Esami,TS,January 25-26,50 mph,991 mb
Not_Named,TS,January 25-26,40 mph,1000 mb
Francisco,TS,February 4-6,50 mph,994 mb
Damien,2,February 6-9,105 mph,961 mb
Uesi,1,February 9-15,85 mph,971 mb
Francisco,TS,14-Feb,45 mph,1003 mb
Gabekile,1,February 15-18,85 mph,978 mb
Vicky,TS,February 21-22,50 mph,996 mb
Wasi,TS,February 21-23,60 mph,995 mb
Ferdinand,2,February 23-29,105 mph,962 mb
Esther,TS,February 23-28,60 mph,992 mb
Not_Named,TS,11-Mar,40 mph,1003 mb
Herold,3,March 13-19,115 mph,963 mb
Gretel,TS,March 14-16,60 mph,971 mb
Irondro,2,April 2-6,105 mph,958 mb
Harold,5,April 2-10,165 mph,912 mb
Jeruto,TS,April 14-15,45 mph,999 mb
Vongfong,3,May 12-16,120 mph,957 mb
Amphan,5,May 16-21,165 mph,901 mb
Arthur,TS,May 17-19,60 mph,990 mb
Mangga,TS,May 21-23,45 mph,996 mb
Bertha,TS,27-May,50 mph,1007 mb
Amanda:Cristobal,TS,May 31-June 8,60 mph,992 mb
Nisarga,1,June 2-3,85 mph,975 mb
Nuri,TS,13-Jun,40 mph,997 mb
Dolly,TS,June 23-24,45 mph,1002 mb
Boris,TS,June 25-26,40 mph,1005 mb
Edouard,TS,6-Jul,45 mph,1005 mb
Cristina,TS,July 7-12,70 mph,993 mb
Fay,TS,July 9-11,60 mph,998 mb
Douglas,4,July 20-29,130 mph,954 mb
Gonzalo,TS,July 22-25,65 mph,997 mb
Hanna,1,July 24-26,85 mph,973 mb
Isaias,1,July 30-August 4,85 mph,987 mb
Sinlaku,TS,August 1-2,40 mph,993 mb
Hagupit,1,August 2-4,85 mph,971 mb
Elida,2,August 9-12,100 mph,975 mb
Jangmi,TS,August 9-11,45 mph,990 mb
Not_Named,TS,August 9-10,50 mph,1005 mb
Mekkhala,1,August 10-11,80 mph,980 mb
Josephine,TS,August 13-16,45 mph,1005 mb
Kyle,TS,August 14-16,50 mph,1000 mb
Genevieve,4,August 16-21,130 mph,950 mb
Fausto,TS,16-Aug,40 mph,1004 mb
Higos,TS,August 18-19,60 mph,991 mb
Laura,4,August 21-28,150 mph,938 mb
Marco,1,August 22-25,75 mph,991 mb
Bavi,3,August 22-27,115 mph,942 mb
Hernan,TS,August 26-28,45 mph,1001 mb
Iselle,TS,August 26-30,60 mph,997 mb
Maysak,4,August 28-September 3,145 mph,921 mb
Haishen,4,August 31-September 7,155 mph,915 mb
Nana,1,September 1-3,75 mph,994 mb
Omar,TS,2-Sep,40 mph,1003 mb
Julio,TS,September 5-6,45 mph,1004 mb
Paulette,2,September 7-22,105 mph,965 mb
Rene,TS,September 7-12,50 mph,1000 mb
Sally,2,September 12-17,105 mph,967 mb
Karina,TS,September 13-16,60 mph,996 mb
Teddy,4,September 14-23,140 mph,945 mb
Vicky,TS,September 14-17,50 mph,1000 mb
Noul,TS,September 15-18,60 mph,990 mb
Wilfred,TS,September 18-20,40 mph,1007 mb
Alpha,TS,18-Sep,50 mph,998 mb
Beta,TS,September 18-22,60 mph,994 mb
Dolphin,TS,September 20-24,70 mph,980 mb
Lowell,TS,September 21-25,50 mph,999 mb
Kujira,1,September 27-30,75 mph,974 mb
Marie,4,September 29-October 6,130 mph,948 mb
Gamma,TS,October 3-5,70 mph,980 mb
Delta,4,October 5-10,140 mph,953 mb
Chan-Hom,1,October 5-11,90 mph,962 mb
Norbert,TS,October 6-14,50 mph,1001 mb
Linfa,TS,October 10-11,45 mph,999 mb
Nangka,TS,October 12-14,60 mph,989 mb
Epsilon,3,October 19-26,115 mph,952 mb
Saudel,2,October 20-25,95 mph,968 mb
Molave,3,October 24-28,125 mph,950 mb
Zeta,2,October 25-29,105 mph,973 mb
Goni,5,October 28-November 5,195 mph,884 mb
Eta,4,November 1-13,150 mph,923 mb
Atsani,TS,November 2-7,60 mph,993 mb
Odalys,TS,November 3-5,50 mph,1000 mb
Etau,TS,9-Nov,45 mph,998 mb
Theta,TS,November 10-15,70 mph,989 mb
Vamco,4,November 10-15,130 mph,945 mb
Iota,5,November 13-18,160 mph,917 mb
Alicia,1,November 14-17,75 mph,983 mb
Polo,TS,November 18-19,45 mph,1004 mb
Gati,3,November 21-23,115 mph,967 mb
Nivar,1,November 23-26,80 mph,981 mb
Burevi,TS,December 1-4,50 mph,999 mb
Bongoyo,TS,December 7-11,60 mph,992 mb
Not_Named,TS,December 8-11,50 mph,992 mb
Not_Named,TS,December 11-12,45 mph,997 mb
Yasa,5,December 12-19,160 mph,914 mb
Zazu,TS,December 13-16,60 mph,985 mb
Chalane,TS,December 25-30,70 mph,990 mb
