2023 Global Tropical Cyclones,,,,
Name,Maximum,Dates,Maximum Sustained Winds,Minimum Central Pressure
,Category,>39 mph,,
Ellie Storm Track,TS,December 22-January 4,45 mph,990 mb
,,,,
Hale Storm Track,TS,January 6-8,50 mph,992 mb
,,,,
Cheneso Storm Track,1,January 17-30,90 mph,967 mb
,,,,
Irene Storm Track,TS,January 18-19,60 mph,992 mb
,,,,
Not_Named Storm Track,TS,January 20-21,40 mph,999 mb
,,,,
Freddy Storm Track,5,February 6-24,160 mph,924 mb
,,,,
Gabrielle Storm Track,2,February 8-12,100 mph,958 mb
,,,,
Dingani Storm Track,1,February 9-16,90 mph,976 mb
,,,,
Enala Storm Track,1,February 22-28,85 mph,984 mb
,,,,
Judy Storm Track,3,February 27-March 4,125 mph,941 mb
,,,,
Kevin Storm Track,4,March 1-7,155 mph,918 mb
,,,,
Freddy Storm Track,3,March 4-13,115 mph,957 mb
,,,,
Herman Storm Track,4,March 29-April 2,145 mph,932 mb
,,,,
Ilsa Storm Track,4,April 8-13,145 mph,929 mb
,,,,
Sanvu Storm Track,TS,April 20-21,50 mph,999 mb
,,,,
Mocha Storm Track,5,May 11-14,160 mph,918 mb
,,,,
Fabien Storm Track,3,May 14-21,115 mph,962 mb
,,,,
Mawar Storm Track,5,May 20-June 3,185 mph,897 mb
,,,,
Arlene Storm Track,TS,June 2-3,40 mph,998 mb
,,,,
Biparjoy Storm Track,3,June 6-16,120 mph,945 mb
,,,,
Guchol Storm Track,2,June 6-13,100 mph,956 mb
,,,,
Not_Named Storm Track,TS,June 9-10,45 mph,991 mb
,,,,
Bret Storm Track,TS,June 19-24,70 mph,996 mb
,,,,
Cindy Storm Track,TS,June 23-26,60 mph,1001 mb
,,,,
Adrian Storm Track,2,June 27-July 2,105 mph,970 mb
,,,,
Beatriz Storm Track,1,June 29-July 1,85 mph,992 mb
,,,,
Calvin Storm Track,3,July 12-19,125 mph,955 mb
,,,,
Don Storm Track,1,July 14-24,75 mph,988 mb
,,,,
Talim Storm Track,1,July 15-18,80 mph,971 mb
,,,,
Doksuri:Dora Storm Track,4,July 22-28,145 mph,926 mb
,,,,
Khanun Storm Track,4,July 28-August 10,135 mph,928 mb
,,,,
Not_Named Storm Track,TS,July 31-August 1,45 mph,987 mb
,,,,
Dora Storm Track,4,August 1-14,145 mph,942 mb
,,,,
Eugene Storm Track,TS,August 5-7,70 mph,992 mb
,,,,
Lan Storm Track,4,August 8-17,130 mph,936 mb
,,,,
Dora,2,12-Aug,100 mph,972 mb
Fernanda Storm Track,4,August 13-17,130 mph,955 mb
,,,,
Greg Storm Track,TS,August 14-17,50 mph,1000 mb
,,,,
Hilary Storm Track,4,August 16-21,145 mph,939 mb
,,,,
Emily Storm Track,TS,August 20-21,50 mph,1001 mb
,,,,
Franklin Storm Track,4,August 20-September 1,150 mph,926 mb
,,,,
Gert Storm Track,TS,21-Aug,40 mph,1006 mb
,,,,
Harold Storm Track,TS,22-Aug,50 mph,998 mb
,,,,
Saola Storm Track,4,August 24-September 3,155 mph,921 mb
,,,,
Damrey Storm Track,1,August 25-28,75 mph,977 mb
,,,,
Irwin Storm Track,TS,August 27-29,45 mph,997 mb
,,,,
Idalia Storm Track,3,August 27-31,120 mph,944 mb
,,,,
Haikui Storm Track,3,August 28-September 4,120 mph,947 mb
,,,,
Kirogi Storm Track,TS,August 30-September 2,70 mph,991 mb
,,,,
Jose Storm Track,TS,August 31-September 1,60 mph,997 mb
,,,,
Gert Storm Track,TS,September 1-4,60 mph,998 mb
,,,,
Katia Storm Track,TS,September 2-3,60 mph,998 mb
,,,,
Lee Storm Track,5,September 5-16,165 mph,926 mb
,,,,
Jova Storm Track,5,September 5-10,160 mph,929 mb
,,,,
Yun-Yeung Storm Track,TS,September 6-8,45 mph,992 mb
,,,,
Margot Storm Track,1,September 7-17,90 mph,970 mb
,,,,
Nigel Storm Track,2,September 17-22,100 mph,971 mb
,,,,
Kenneth Storm Track,TS,September 19-22,50 mph,1000 mb
,,,,
Ophelia Storm Track,TS,September 22-23,70 mph,981 mb
,,,,
Philippe Storm Track,TS,September 23-October 6,50 mph,998 mb
,,,,
Rina Storm Track,TS,September 28-October 1,50 mph,999 mb
,,,,
Koinu Storm Track,4,September 30-October 9,135 mph,940 mb
,,,,
Lidia Storm Track,4,October 3-11,140 mph,942 mb
,,,,
Bolaven Storm Track,5,October 7-14,175 mph,903 mb
,,,,
Max Storm Track,TS,October 9-10,65 mph,991 mb
,,,,
Sean Storm Track,TS,October 11-14,45 mph,1004 mb
,,,,
Norma Storm Track,4,October 17-23,130 mph,941 mb
,,,,
Tammy Storm Track,2,October 18-29,105 mph,965 mb
,,,,
Sanba Storm Track,TS,October 18-20,45 mph,1001 mb
,,,,
Tej Storm Track,3,October 20-24,125 mph,956 mb
,,,,
Lola Storm Track,4,October 21-25,135 mph,941 mb
,,,,
Otis Storm Track,5,October 22-25,165 mph,923 mb
,,,,
Hamoon Storm Track,1,October 23-25,90 mph,978 mb
,,,,
Pilar Storm Track,TS,October 30-November 5,60 mph,996 mb
,,,,
Mal Storm Track,1,November 13-16,85 mph,977 mb
,,,,
Midhili Storm Track,TS,November 16-17,45 mph,1001 mb
,,,,
Ramon Storm Track,TS,November 25-26,45 mph,1002 mb
,,,,
Michaung Storm Track,TS,December 3-5,70 mph,987 mb
,,,,
Jasper Storm Track,4,December 5-14,135 mph,937 mb
,,,,
Jelawat Storm Track,TS,17-Dec,40 mph,1002 mb
,,,,
